Rank,Ticker,Name,Weight
514,MMI,MARCUS + MILLICHAP INC,0.052064
515,HAFC,HANMI FINANCIAL CORPORATION,0.051759
516,NVRI,ENVIRI CORP,0.05158
517,IIIN,INSTEEL INDUSTRIES INC,0.051507
518,TNDM,TANDEM DIABETES CARE INC,0.050576
519,NXRT,NEXPOINT RESIDENTIAL,0.050442
520,MRTN,MARTEN TRANSPORT LTD,0.049241
521,HTZ,HERTZ GLOBAL HLDGS INC,0.049124
522,BDN,BRANDYWINE REALTY TRUST,0.049029
523,PLAY,DAVE + BUSTER S ENTERTAINMEN,0.048949
524,ETD,ETHAN ALLEN INTERIORS INC,0.048896
525,SXC,SUNCOKE ENERGY INC,0.048653
526,AXL,AMERICAN AXLE + MFG HOLDINGS,0.048181
527,SAFE,SAFEHOLD INC,0.047979
528,RC,READY CAPITAL CORP,0.047254
529,UFCS,UNITED FIRE GROUP INC,0.047146
530,TRST,TRUSTCO BANK CORP NY,0.046991
531,TR,TOOTSIE ROLL INDS,0.04662
532,AMN,AMN HEALTHCARE SERVICES INC,0.046585
533,HSTM,HEALTHSTREAM INC,0.046249
